iata,title,city,state,country,latitude,longitude
00M,Thigpen,Bay Springs,MS,USA,28.17217354,113.0487785
00R,Livingston Municipal,Livingston,TX,USA,28.17220602,113.0488386
00V,Meadow Lake,Colorado Springs,CO,USA,28.17183967,113.0489537
01G,Perry-Warsaw,Perry,NY,USA,28.17207879,113.049028
01J,Hilliard Airpark,Hilliard,FL,USA,28.17223219,113.0497082
01M,Tishomingo County,Belmont,MS,USA,28.17214557,113.0487307
02A,Gragg-Wade,Clanton,AL,USA,28.17207879,113.0497734
02C,Capitol,Brookfield,WI,USA,28.1720436,113.0495738
02G,Columbiana County,East Liverpool,OH,USA,28.17215549,113.0497785
03D,Memphis Memorial,Memphis,MO,USA,28.17215279,113.0491237
04M,Calhoun County,Pittsboro,MS,USA,28.17224122,113.0494333
04Y,Hawley Municipal,Hawley,MN,USA,28.17203548,113.0494007
05C,Griffith-Merrillville,Griffith,IN,USA,28.17219249,113.0489781
05F,Gatesville - City/County,Gatesville,TX,USA,28.17214827,113.0495443
05U,Eureka,Eureka,NV,USA,28.17207969,113.0488335
06A,Moton  Municipal,Tuskegee,AL,USA,28.17225835,113.0507255
06C,Schaumburg,Chicago/Schaumburg,IL,USA,28.17199848,113.0500585
06D,Rolla Municipal,Rolla,ND,USA,28.17224572,113.0501787
06M,Eupora Municipal,Eupora,MS,USA,28.17205172,113.0502672
06N,Randall,Middletown,NY,USA,28.17224752,113.0509658
06U,Jackpot/Hayden,Jackpot,NV,USA,28.17205893,113.0509556
07C,Dekalb County,Auburn,IN,USA,28.17220963,113.0499373
07F,Gladewater Municipal,Gladewater,TX,USA,28.17203638,113.0504587
07G,Fitch H Beach,Charlotte,MI,USA,28.1720833,113.0502774
07K,Central City Municipal,Central City,NE,USA,28.17206254,113.0507265
08A,Wetumpka Municipal,Wetumpka,AL,USA,28.17224031,113.050419
08D,Stanley Municipal,Stanley,ND,USA,28.17209232,113.0508324
08K,Harvard State,Harvard,NE,USA,28.17201292,113.0505126
08M,Carthage-Leake County,Carthage,MS,USA,28.17208421,113.0499872
09A,Butler-Choctaw County,Butler,AL,USA,28.17203638,113.0498752
09J,Jekyll Island,Jekyll Island,GA,USA,28.17221323,113.0513517
