frameNUM,carID,carCenterX,carCenterY,carW,carL,course,headX,headY,tailX,tailY,lostCountert,boundingBox1X,boundingBox1Y,boundingBox2X,boundingBox2Y,boundingBox3X,boundingBox3Y,boundingBox4X,boundingBox4Y,Lat,Lng
2,0,2667,1041,44,107,90,2722,1041,2612,1041,1,2719,1063,2613,1063,2613,1019,2719,1019,28.17217354,113.0487785
2,1,2481,1055,41.30501175,105.4832382,87.61405611,2534,1053,2428,1057,1,2429,1078,2428,1037,2533,1033,2535,1074,28.17220602,113.0488386
2,2,1734,1380,48.89396667,129.4947815,63.43494987,1791,1352,1677,1408,1,1685,1437,1663,1393,1781,1334,1803,1378,28.17183967,113.0489537
2,3,2983,1313,44.32325363,109.6467209,93.65222931,3038,1316,2928,1309,1,3035,1338,2929,1331,2932,1287,3038,1294,28.17207879,113.049028
2,4,726,1207,43.41088104,115.6672974,103.201088,780,1219,671,1194,1,774,1241,663,1215,673,1173,784,1199,28.17223219,113.0497082
2,5,3673,687,45.35368347,109.6696472,106.2602081,3726,703,3619,671,1,3718,724,3613,694,3626,651,3730,682,28.17214557,113.0487307
2,6,132,151,39.45799255,99.83181763,130.6012955,167,180,97,121,1,155,204,79,139,105,108,181,174,28.17207879,113.0497734
2,7,1982,157,40.72935486,89.51972198,171.4692345,1989,202,1975,111,1,1967,201,1954,114,1995,108,2008,195,28.1720436,113.0495738
2,8,128,1542,43.53930664,73.97000122,108.4349442,165,1554,90,1529,1,155,1577,84,1554,98,1512,169,1536,28.17215549,113.0497785
2,9,2809,510,40.42309189,87.48017883,108.0342865,2847,522,2770,497,1,2844,542,2761,515,2773,477,2856,504,28.17215279,113.0491237
2,10,1646,443,65.13124847,73.96362305,122.7352295,1678,463,1614,423,1,1659,490,1597,450,1632,395,1694,435,28.17224122,113.0494333
3,0,2667,1040,44,107,90,2722,1040,2612,1040,1,2719,1063,2612,1063,2612,1019,2719,1019,28.17203548,113.0494007
3,1,2481,1055,41.30501175,105.4832382,87.79740191,2534,1053,2428,1057,1,2429,1078,2428,1037,2533,1033,2535,1073,28.17219249,113.0489781
3,2,1736,1379,48.89396667,129.4947815,66.80141068,1794,1354,1677,1404,1,1683,1432,1663,1386,1784,1334,1804,1380,28.17214827,113.0495443
3,3,2989,1313,44.32325363,109.6467209,93.9451828,3045,1316,2933,1309,1,3043,1338,2935,1331,2938,1287,3046,1294,28.17207969,113.0488335
3,4,719,1204,43.41088104,115.6672974,104.2067642,773,1217,664,1190,1,769,1239,656,1211,667,1169,780,1198,28.17225835,113.0507255
3,5,3672,686,45.35368347,109.6696472,106.5873413,3725,701,3618,670,1,3717,725,3612,694,3625,651,3730,682,28.17199848,113.0500585
3,6,131,154,39.45799255,99.83181763,129.5596657,166,183,95,125,1,157,204,80,141,106,110,182,173,28.17224572,113.0501787
3,7,1983,158,40.72935486,89.51972198,170.7538872,1990,204,1976,112,1,1968,203,1954,115,1995,108,2009,196,28.17205172,113.0502672
3,8,126,1542,43.53930664,73.97000122,110.3231354,162,1555,90,1529,1,153,1577,85,1551,100,1511,168,1536,28.17224752,113.0509658
